Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0624291020769032,0.00468499263288874,0.20887348548324,0,0,0,22.1412579270583,0.18465288175653,0.000675486824204511,0.000305317691505359,0.305765297745516,0.000871255240849521,0.348391182314599,0,0,0,0,0,0,package://urdf_udr_new/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/base_link.STL,,base_frm_stp-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_w,9.67362365766888E-08,1.17905379348748E-07,0.0385837302520066,0,0,0,1.24321467663058,0.00585956075891878,-1.45942223109445E-07,-2.85200563415298E-11,0.00586012079868719,-1.33711172719354E-10,0.0113529476510367,0,0,0,0,0,0,package://urdf_udr_new/meshes/right_w.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/right_w.STL,,rightwheel-1,Coordinate System12,Axis1_R,J1,continuous,0,-0.2698,0.12375,-1.5708,0,3.1416,base_link,0,0,-1,200,100,0,0,,,,,,,,
Left_w,1.4918892421445E-07,3.16596061034069E-08,0.0385837198112248,0,0,0,1.24321559312545,0.00585963665255297,2.42910236931348E-07,-1.05800394651528E-10,0.00586004517577023,-8.66216355527152E-11,0.0113529479149376,0,0,0,0,0,0,package://urdf_udr_new/meshes/Left_w.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/Left_w.STL,,leftwheel-1,Coordinate System13,Axis2_L,J2,continuous,0,0.27,0.12375,1.5708,0,3.1416,base_link,0,0,-1,200,100,0,0,,,,,,,,
FLC,0.0145525050938536,0.00506500635692475,-0.0211088701906772,0,0,0,0.0210798091970502,1.40856058366616E-05,6.73713319650777E-07,2.53769484133454E-06,1.2246722522495E-05,8.28405543332318E-07,1.53665692142578E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/FLC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/FLC.STL,,caster_cover-3,Coordinate System3,Axis3FLC,J3,continuous,0.25,0.155,0.08145,0,0,1.5708,base_link,0,0,-1,0,100,0,0,,,,,,,,
FLW,-2.00817450446422E-08,3.67723573257983E-08,-0.020499956881868,0,0,0,0.15374218752625,6.77250647496595E-05,4.49120161059612E-11,4.32369909477939E-11,6.77250109638679E-05,-7.9153691267831E-11,0.000102217238167678,0,0,0,0,0,0,package://urdf_udr_new/meshes/FLW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/FLW.STL,,caster_ruubr_rim-4,Coordinate System7,Axis4_FLW,J4,continuous,0.039294,-0.0087218,-0.0505,1.5708,0,0.31596,FLC,0,0,-1,0,100,,,,,,,,,,
FRC,-0.00973565071117044,-0.0119432082364628,0.021108776977357,0,0,0,0.0210797647006809,1.28947314306233E-05,1.10708285754622E-06,1.64618210253521E-06,1.34374615727984E-05,2.10145227566228E-06,1.5366483276365E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/FRC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/FRC.STL,,caster_cover-1,Coordinate System10,Axis5_FRC,J5,continuous,0.25,-0.155,0.08095,3.1416,0,1.5708,base_link,0,0,-1,0,100,0,0,,,,,,,,
FRW,-4.17871743318976E-08,-3.05201877659478E-09,-0.020499956881867,0,0,0,0.15374218752625,6.7724986330089E-05,-9.23681946444026E-12,8.99525470081407E-11,6.77250893834385E-05,6.57902112448154E-12,0.000102217238167678,0,0,0,0,0,0,package://urdf_udr_new/meshes/FRW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/FRW.STL,,caster_ruubr_rim-5,Coordinate System11,Axis6_FRW,J6,continuous,-0.0052407,-0.039908,0.0505,1.5708,0,0.90585,FRC,0,0,-1,0,100,,,,,,,,,,
RLC,0.0154061714072432,0.000292385443586451,-0.021108962602837,0,0,0,0.0210797682567391,1.43059835869212E-05,5.02766015790456E-10,2.66950767028971E-06,1.20263715927633E-05,-1.13213563799207E-09,1.53665753331142E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/RLC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/RLC.STL,,caster_cover-4,Coordinate System5,Axis7_RLC,J7,continuous,-0.25,0.155,0.08145,0,0,1.5708,base_link,0,0,-1,0,100,0,0,,,,,,,,
RLW,-2.01015006584537E-08,3.6808518427689E-08,-0.0204999568534652,0,0,0,0.153742188024696,6.77250649206974E-05,4.4956175005754E-11,4.32688632504499E-11,6.77250110820167E-05,-7.92120410786504E-11,0.000102217238364983,0,0,0,0,0,0,package://urdf_udr_new/meshes/RLW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/RLW.STL,,caster_ruubr_rim-3,Coordinate System6,Axis8_RLW,J8,continuous,0.034639,-0.0205,-0.0505,1.5708,0,0,RLC,0,0,-1,0,100,,,,,,,,,,
RRC,0.015278775331827,0.00199752634308409,0.0211089019647416,0,0,0,0.0210797183012524,1.42558670089239E-05,3.34023871060435E-07,-2.63975284592552E-06,1.20763655609628E-05,-3.97359188536282E-07,1.53664914572821E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/RRC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/RRC.STL,,caster_cover-2,Coordinate System9,Axis9_RRC,J9,continuous,-0.25,-0.155,0.08245,3.1416,0,1.5708,base_link,0,0,-1,0,100,0,0,,,,,,,,
RRW,-4.17871744429199E-08,-3.05201883210593E-09,0.0205000431181329,0,0,0,0.15374218752625,6.7724986330089E-05,-9.23681952510909E-12,8.99525469488484E-11,6.77250893834383E-05,6.57902115533585E-12,0.000102217238167678,0,0,0,0,0,0,package://urdf_udr_new/meshes/RRW.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/RRW.STL,,caster_ruubr_rim-2,Coordinate System8,Axis10_RRW,J10,continuous,0.031213,0.025414,0.0505,1.5708,0,0.14897,RRC,0,0,-1,0,100,,,,,,,,,,
3DLDR,0.3526,-8.6168E-05,0.30373,0,0,0,0.16636,0.00011326,-3.7341E-07,9.1676E-07,5.92E-05,3.6162E-08,0.00011283,0,0,0,0,0,0,package://urdf_udr_new/meshes/3DLDR.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/3DLDR.STL,,front3dlidar-1,Coordinate System1,,J11,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
F2DLDR,0.38368,0.22785,0.23437,0,0,0,0.20388,0.00011527,7.2568E-08,2.8099E-06,0.00010383,-3.1905E-07,6.9615E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/F2DLDR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/F2DLDR.STL,,front2dlidar-1,Coordinate System1,,J12,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
R2DLDR,-0.38368,-0.22785,0.23437,0,0,0,0.20388,0.00011527,7.2568E-08,-2.8099E-06,0.00010383,3.1905E-07,6.9615E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/R2DLDR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/R2DLDR.STL,,rear2dlidar-1,Coordinate System1,,J13,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
IMU,2.1406E-05,-6.7144E-05,-0.017922,0,0,0,0.087961,5.5008E-05,3.1956E-07,-7.8956E-08,4.1118E-05,1.7149E-08,9.0864E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/IMU.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/IMU.STL,,_IMU-1,Coordinate System2,,J14,fixed,0,0,0.3607,0,0,0,base_link,0,0,0,,,,,,,,,,,,
EMRG,0.18486,0.14416,0.38035,0,0,0,0.07374,3.5962E-05,-9.0472E-07,8.2568E-11,3.6293E-05,-1.6569E-10,1.0407E-05,0,0,0,0,0,0,package://urdf_udr_new/meshes/EMRG.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/EMRG.STL,,EMRG_Stop-1,Coordinate System1,Axis_j15,J15,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
LMPTWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://urdf_udr_new/meshes/LMPTWR.STL,1,1,1,1,0,0,0,0,0,0,package://urdf_udr_new/meshes/LMPTWR.STL,,lmpstower-1,Coordinate System1,,J16,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
